,ID_sub_SLS,kode_wilayah,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,kode_SLS,nama_SLS
141,32790100040050,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0050,RT 046 RW 014 DUSUN BALOKANG
142,32790100040051,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0051,RT 047 RW 015 DUSUN BALOKANG
143,32790100040052,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0052,RT 048 RW 015 DUSUN BALOKANG
144,32790100041001,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1001,SAWAH LOCONDONG
145,32790100041002,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1002,SAWAH CIBODAS
146,32790100041003,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1003,SAWAH GARDU I
147,32790100041004,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1004,SAWAH GARDU II
148,32790100041005,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1005,SAWAH CIAREN
149,32790100042006,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,2006,HUTAN GUNUNG TUGEL
150,32790100042007,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,2007,KEBUN KARANGTENGAH
151,32790100042008,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,2008,HUTAN GARDU
152,32790100050001,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0001,RT 001 RW 001
153,32790100050002,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0002,RT 002 RW 001
154,32790100050003,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0003,RT 003 RW 001
155,32790100050004,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0004,RT 004 RW 001
156,32790100050005,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0005,RT 005 RW 001
157,32790100050006,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0006,RT 006 RW 001
158,32790100050007,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0007,RT 001 RW 002
159,32790100050008,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0008,RT 002 RW 002
160,32790100050009,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0009,RT 003 RW 002
161,32790100050010,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0010,RT 004 RW 002
162,32790100050011,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0011,RT 001 RW 003
163,32790100050012,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0012,RT 002 RW 003
164,32790100050013,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0013,RT 003 RW 003
165,32790100050014,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0014,RT 001 RW 004
166,32790100050015,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0015,RT 002 RW 004
167,32790100050016,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0016,RT 003 RW 004
168,32790100050017,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0017,RT 004 RW 004
169,32790100050018,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0018,RT 005 RW 004
170,32790100050019,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0019,RT 001 RW 005
171,32790100050020,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0020,RT 002 RW 005
172,32790100050021,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0021,RT 003 RW 005
173,32790100050022,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0022,RT 004 RW 005
174,32790100050023,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0023,RT 005 RW 005
175,32790100050024,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0024,RT 001 RW 006
176,32790100050025,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0025,RT 002 RW 006
177,32790100050026,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0026,RT 003 RW 006
178,32790100050027,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0027,RT 004 RW 006
179,32790100050028,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0028,RT 005 RW 006
180,32790100050029,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0029,RT 001 RW 007
181,32790100050030,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0030,RT 002 RW 007
182,32790100050031,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0031,RT 003 RW 007
183,32790100050032,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0032,RT 004 RW 007
