ID_sub_SLS,kode_wilayah,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,kode_SLS,nama_SLS
3279010004003100    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0031,RT 027 RW 009 DUSUN KARANGTENGAH
3279010004003200    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0032,RT 028 RW 010 DUSUN KARANGPUCUNG
3279010004003300    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0033,RT 029 RW 010 DUSUN KARANGPUCUNG
3279010004003400    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0034,RT 030 RW 010 DUSUN KARANGPUCUNG
3279010004003500    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0035,RT 031 RW 010 DUSUN KARANGPUCUNG
3279010004003600    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0036,RT 032 RW 011 DUSUN KARANGPUCUNG
3279010004003700    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0037,RT 033 RW 011 DUSUN KARANGPUCUNG
3279010004003800    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0038,RT 034 RW 011 DUSUN KARANGPUCUNG
3279010004003900    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0039,RT 043 RW 011 DUSUN KARANGPUCUNG
3279010004004000    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0040,RT 035 RW 012 DUSUN
3279010004004100    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0041,RT 036 RW 012 DUSUN
3279010004004200    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0042,RT 037 RW 012 DUSUN
3279010004004300    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0043,RT 049 RW 012 DUSUN
3279010004004400    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0044,RT 038 RW 013 DUSUN
3279010004004500    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0045,RT 039 RW 013 DUSUN
3279010004004600    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0046,RT 040 RW 013 DUSUN
3279010004004700    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0047,RT 050 RW 013 DUSUN
3279010004004800    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0048,RT 044 RW 014 DUSUN BALOKANG
3279010004004900    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0049,RT 045 RW 014 DUSUN BALOKANG
3279010004005000    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0050,RT 046 RW 014 DUSUN BALOKANG
3279010004005100    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0051,RT 047 RW 015 DUSUN BALOKANG
3279010004005200    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,0052,RT 048 RW 015 DUSUN BALOKANG
3279010004100100    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1001,SAWAH LOCONDONG
3279010004100200    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1002,SAWAH CIBODAS
3279010004100300    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1003,SAWAH GARDU I
3279010004100400    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1004,SAWAH GARDU II
3279010004100500    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,1005,SAWAH CIAREN
3279010004200600    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,2006,HUTAN GUNUNG TUGEL
3279010004200700    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,2007,KEBUN KARANGTENGAH
3279010004200800    ,3279010004,32,JAWA BARAT,79,BANJAR,010,BANJAR,004,BALOKANG,2008,HUTAN GARDU
3279010005000100    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0001,RT 001 RW 001
3279010005000200    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0002,RT 002 RW 001
3279010005000300    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0003,RT 003 RW 001
3279010005000400    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0004,RT 004 RW 001
3279010005000500    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0005,RT 005 RW 001
3279010005000600    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0006,RT 006 RW 001
3279010005000700    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0007,RT 001 RW 002
3279010005000800    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0008,RT 002 RW 002
3279010005000900    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0009,RT 003 RW 002
3279010005001000    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0010,RT 004 RW 002
3279010005001100    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0011,RT 001 RW 003
3279010005001200    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0012,RT 002 RW 003
3279010005001300    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0013,RT 003 RW 003
3279010005001400    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0014,RT 001 RW 004
3279010005001500    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0015,RT 002 RW 004
3279010005001600    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0016,RT 003 RW 004
3279010005001700    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0017,RT 004 RW 004
3279010005001800    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0018,RT 005 RW 004
3279010005001900    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0019,RT 001 RW 005
3279010005002000    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0020,RT 002 RW 005
3279010005002100    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0021,RT 003 RW 005
3279010005002200    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0022,RT 004 RW 005
3279010005002300    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0023,RT 005 RW 005
3279010005002400    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0024,RT 001 RW 006
3279010005002500    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0025,RT 002 RW 006
3279010005002600    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0026,RT 003 RW 006
3279010005002700    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0027,RT 004 RW 006
3279010005002800    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0028,RT 005 RW 006
3279010005002900    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0029,RT 001 RW 007
